role,company_name,hiring_badge,location,duration,stipend_perMonth
Insurance Content Writer,RK & Co,Actively hiring,Work from home,4 Months," 7,000 "
Market Research,Avaesa,Actively hiring,Work from home,3 Months," 5,000-10,000 "
3D Modelling,Panoculon Labs,Actively hiring,Work from home,1 Month," 7,500 "
Aide Supervisor (Fundraising),Pawzz,Actively hiring,Work from home,3 Weeks," 1,500-10,000 "
Human Resources (HR),Sunstone Education Technology Private Limited,Actively hiring,Gurgaon,2 Months," 11,000 "
Content Design (Personal Branding Specialist),Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,4 Months," 10,000 "
Channel Partner Manager,Rydeu Logistics UG,Actively hiring,Work from home,6 Months," 8,000-10,000 "
Human Resources (HR),Absolute People Screen Private Limited,Actively hiring,Gurgaon,6 Months," 10,000 "
Python Development,Akaaro,Actively hiring,Gurgaon                                                            (Hybrid),1 Month," 2,000 "
Human Resources (HR),NayePankh Foundation,Actively hiring,Ghaziabad,3 Months," 15,000 "
Social Media Marketing,Social Parindee Digital Marketing Agency Private Limited,Actively hiring,Work from home,6 Months," 1,000-5,000 "
Unity Game Developer,Monkhub,Actively hiring,Gurgaon,6 Months," 8,000-10,000 "
Data Entry,Esta Global,Actively hiring,Kolkata,6 Months," 6,000 "
UI/UX Designer,AppVersal,Actively hiring,Noida,3 Months," 10,000 "
Influencer Marketing,Dollarpe Technologies Private Limited,Actively hiring,Work from home,2 Months," 1,000  +  Incentives"
Prompt Engineering,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,2 Months," 1,000 "
E-Commerce Marketing,A Box Of Stories,Actively hiring,Work from home,3 Months," 8,000-10,000 "
Accounting,Gloval International,Actively hiring,Mumbai,3 Months," 10,000 "
Professional Video Editor/Graphics Designer,Kusum Sharma,Actively hiring,Work from home,6 Months," 6,000 "
Marketing,MentorBoxx,Actively hiring,Pune,3 Months," 5,500 "
Event Management,Flamingo Communications India Private Limited,Actively hiring,"Thane, Mumbai",3 Months," 8,000 "
Marketing (Lead Generation),Tripple One Solutions,Actively hiring,Work from home,1 Month," 3,000-10,000 "
Telecalling,Younglabs Innovations Private Limited,Actively hiring,"Delhi, Noida",3 Months," 8,000-10,000 "
Design Category,Meragi,Actively hiring,Delhi,3 Months," 15,000 "
Customer Service/Customer Support,MentorBoxx,Actively hiring,Pune,3 Months," 15,000 "
Technical Assistant,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months," 1,000 "
Event Management,Office Of Advisor To CM,Actively hiring,Delhi,6 Months," 2,000-5,000 "
Project Management,Elastochemie Impex,Actively hiring,Mumbai,6 Months," 10,000-15,000 "
Customer Service/Customer Support,Sports For All,Actively hiring,Mumbai,6 Months," 10,000-15,000 "
Business Development (Sales),CyberFrat,Actively hiring,Mumbai,2 Months," 10,000-15,000 "
Campus Ambassador,Blue Rose Publishers,Actively hiring,Work from home,1 Month,Performance Based
Market Research,Ekvity,Actively hiring,Mumbai,6 Months," 8,000 "
Angular.js Development,Quarks Technosoft Private Limited,Actively hiring,Noida,6 Months," 15,000 "
Sales And Outreach (S&O),Pawzz,Actively hiring,Work from home,3 Weeks," 1,500-5,000 "
Campus Ambassador,Supreme Forex (Supreme Securities Limited),Actively hiring,Delhi,2 Months,Performance Based
Digital Marketing,"Enshrine Global Systems (Detroit, United States)",Actively hiring,Work from home,3 Months," 5,000 "
Social Media Marketing,Visualview Media,Actively hiring,"Pune, Pimpri-Chinchwad",3 Months," 10,000 "
Fundraising & Volunteering,NayePankh Foundation,Actively hiring,Work from home,1 Month,20% of Total Funds Raised
Video Editing/Making,Catalyst Crew,Actively hiring,Mumbai                                                            (Hybrid),6 Months," 10,000 "
Content Writing,Traya Health,Actively hiring,Mumbai,3 Months," 15,000 "
Video Solution Expert - IIT/JEE/NEET,CloudBird Digital Private Limited,Actively hiring,Work from home,6 Months," 8,000-9,000 "
Fundraising,Marpu Foundation,Actively hiring,Work from home,2 Weeks,Unpaid
Wix Website Development,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months," 1,000 "
React Native Developer,StoreShoppy Online Services Private Limited,Actively hiring,"Faridabad, Delhi, Gurgaon, Noida",4 Months," 5,000-10,000 "
HR Consultant,Aaptatt,Actively hiring,"Delhi, Gurgaon, Sonipat, Noida                                                            (Hybrid)",3 Months," 2,500 "
Sales,YourDOST Health Solutions,Actively hiring,Bangalore,6 Months," 15,000-18,000 "
Investment Banker,Firstricoz Private Limited,Actively hiring,Work from home,6 Months," 1,000  +  Incentives"
Motion Graphics,Creatiwise,Actively hiring,Work from home,6 Months," 8,000-15,000 "
Graphic Design,Fables,Actively hiring,Gurgaon,2 Months," 10,000-15,000 "
Content Development (Mathematics),Referencified Tech Private Limited,Actively hiring,Work from home,3 Months," 3,000 "
Brand Marketing,Dhruvaashi Software & Technology (OPC) Private Limited,Actively hiring,Work from home,3 Months," 2,000 "
Social Media Marketing,Tradester Retail & Wholesale Private Limited,Actively hiring,Chennai,1 Month," 5,000 "
Sales,Flying Pigeon Solutions,Actively hiring,Work from home,2 Months," 3,000-5,000 "
Content Writing,Senso Vision System,Actively hiring,Bangalore                                                            (Hybrid),3 Months," 5,000 "
Documentation Specialist - Mechanical,Trashcon Labs Private Limited,Actively hiring,Bangalore,3 Months," 10,000 "
Customer Service/Customer Support,Edumerge Solutions Private Limited,Actively hiring,Bangalore,3 Months," 20,000 "
Content Writer,RankItRight Media,Actively hiring,Bangalore,6 Months," 25,000 "
Inside Sales,Yes Property,Actively hiring,Bangalore,3 Months," 10,000 "
Customer Success Intern,Shopflo Technologies Private Limited,Actively hiring,Bangalore,6 Months," 20,000 "
Salon Manager,AscendCode,Actively hiring,Hyderabad,3 Months," 15,000 "
Virtual Volunteer,InAmigos Foundation,Actively hiring,Work from home,3 Weeks,20% of Revenue Generated
Human Resources (HR),Dhruvaashi Software & Technology (OPC) Private Limited,Actively hiring,"Chennai, Delhi, Kolkata, Bangalore, Mumbai",1 Month," 2,500 "
Online Autocad Tutor,Narigiri's Connect To Universe Private Limited,Actively hiring,Work from home,6 Months," 10,000-12,000 "
Business Development (Sales),Agnihotri Securities Limited,Actively hiring,Work from home,2 Months," 3,000  +  Incentives"
Field Sales Executive,Bezt Labs,Actively hiring,Bangalore,2 Months," 10,000 "
Social Media Impact,Marpu Foundation,Actively hiring,Work from home,1 Month,Unpaid
Intern Program Management - Sales,Meragi,Actively hiring,Bangalore,3 Months," 15,000 "
Business Development (BD Sales),Pawzz,Actively hiring,Work from home,2 Weeks," 1,500-10,000 "
Online Buisness Studies Faculty For School Kids.,Vikalp India Private Limited,Actively hiring,Work from home,6 Months," 6,000-9,000 "
Online Account Faculty For School Kids.,Vikalp India Private Limited,Actively hiring,Work from home,6 Months," 6,000-9,000 "
Online Marathi Faculty For School Kids.,Vikalp India Private Limited,Actively hiring,Work from home,6 Months," 5,000-8,000 "
Fundraising/Crowdfunding,Basti Ki Pathshala Foundation,Actively hiring,Work from home,1 Month,20% of Total Funds Raised
Social Entrepreneurship,Basti Ki Pathshala Foundation,Actively hiring,Work from home,1 Month,20% of Total Funds Raised
Social Sector Operations,Basti Ki Pathshala Foundation,Actively hiring,Work from home,4 Weeks,20% of Total Funds Raised
Campus Ambassador,SwasthAham,Actively hiring,Work from home,6 Months,Performance Based
Interior Design,M&N Corporation,Actively hiring,Work from home,6 Months," 3,000 "
Video And Graphic,Travokarma,Actively hiring,Work from home,2 Months," 10,000-15,000 "
Fundraising,The Skill Guru Foundation,Actively hiring,Work from home,1 Week,Unpaid
Campus Ambassador,ADM EDUCATION & WELFARE SOCIETY,Actively hiring,Work from home,3 Months,Performance Based
Fundraising,ADM EDUCATION & WELFARE SOCIETY,Actively hiring,Work from home,2 Weeks,Unpaid
3D Artist,IDZ Digital Private Limited,Actively hiring,"Thane, Navi Mumbai, Dombivli, Kalyan, Mumbai, Panvel",3 Months," 8,000 "
Software Sales Executive,Emvoke Technologies Private Limited,Actively hiring,Work from home,6 Months," 7,000  +  Incentives"
Marketing & Sales,Kheoni Ventures Private Limited,Actively hiring,Udaipur,6 Months," 2,000  +  Incentives"
Content Strategist,Chrysalis Services,Actively hiring,"Chennai, Bangalore                                                            (Hybrid)",3 Months," 10,000 "
Online Data Structure Tutor,Narigiri's Connect To Universe Private Limited,Actively hiring,Work from home,6 Months," 10,000-12,000 "
Fundraising Operations,NayePankh Foundation,Actively hiring,Work from home,1 Month,20% of Total Funds Raised
Current Affairs UPSC,International Institute Of SDGs & Public Policy Research,Actively hiring,Work from home,3 Months,Unpaid
Subject Matter Expert (Inorganic Chemistry),Kunduz Technologies,Actively hiring,Work from home,3 Months," 5,000-6,000 "
Graphic Design,PassionMojo,Actively hiring,Work from home,2 Months,Unpaid
Inside Sales,MBG Card,Actively hiring,Jabalpur,3 Months," 8,000-12,000 "
Online Digital Logic Design Tutor,Narigiri's Connect To Universe Private Limited,Actively hiring,Work from home,6 Months," 10,000-12,000 "
"Research In Environment, Social And Governance",International Institute Of SDGs & Public Policy Research,Actively hiring,Work from home,3 Months,Unpaid
Business Development (Sales),Switchover India,Actively hiring,Nagpur,4 Months," 6,000-7,500 "
Campus Ambassador (Project Development),Masai School,Actively hiring,Work from home,5 Weeks," 1,000 /week +  Incentives"
Business Development At 3mguru,3mguru,Actively hiring,Work from home,2 Months," 3,000  +  Incentives"
Business Development (Sales),Kheoni Ventures Private Limited,Actively hiring,Indore,3 Months," 5,000-10,000 "
Sales And Marketing,Highway Delite,Actively hiring,Guwahati,3 Months," 8,000 "
Business Development (Sales),Stellar8 Labs,Actively hiring,Indore,3 Months," 2,000  +  Incentives"
Lead Generation,Heterize Infotech Private Limited,Actively hiring,Indore,3 Months," 7,000-12,000 "
United States Curriculum Computer Science,Narigiri's Connect To Universe Private Limited,Actively hiring,Work from home,3 Months," 1,000-8,000 "
E-Commerce Catalog Management,Heterize Infotech Private Limited,Actively hiring,Indore,3 Months," 5,000-8,000 "
Social Media Marketing,Kheoni Ventures Private Limited,Actively hiring,Indore,6 Months," 5,000 "
Field Sales,Heterize Infotech Private Limited,Actively hiring,Indore,3 Months," 8,000-10,000 "
US Curriculum Math Online Tutor,Narigiri's Connect To Universe Private Limited,Actively hiring,Work from home,6 Months," 1,000-8,000 "
Business Development (Sales),Tutedude,Actively hiring,Work from home,3 Months," 5,000-10,000 "
Telugu Audio Transcription Expert,Indiaum Solutions,Actively hiring,Work from home,4 Months," 7,000-15,000 "
Business Development (Sales),Kanwal Industrial Corporation,Actively hiring,Noida,3 Months," 8,000  +  Incentives"
Business Development (Sales),Stirring Minds,Actively hiring,Delhi,2 Months," 2,000  +  Incentives"
Fellowship,Flashlights Welfare Society,Actively hiring,Work from home,3 Months,Unpaid
E-commerce Operations,Heterize Infotech Private Limited,Actively hiring,Indore,3 Months," 2,000-5,000 "
Lead Generation,Stirring Minds,Actively hiring,Delhi,2 Months," 3,000  +  Incentives"
Digital Marketing,Techdome Solutions Private Limited,Actively hiring,Indore,6 Months," 8,000-12,000 "
Business Development (Sales),Flying Pigeon Solutions,Actively hiring,Jaipur,2 Months," 10,000 "
Telugu Transcription Specialist,Indiaum Solutions,Actively hiring,Work from home,4 Months," 7,000-15,000 "
Content Writing,Kheoni Ventures Private Limited,Actively hiring,Indore,6 Months," 7,000 "
Business Development (Sales),Botlie Software And Consulting Private Limited,Actively hiring,Greater Noida,6 Months," 15,000 "
Inside Sales,Heterize Infotech Private Limited,Actively hiring,Indore,3 Months," 7,000 "
Business Development (Sales),Gigde Global Solutions Private Limited,Actively hiring,"Delhi, Ghaziabad, Gurgaon, Greater Noida, Noida",6 Months," 10,000-15,000 "
Inside Sales,Stirring Minds,Actively hiring,Delhi,2 Months," 2,000  +  Incentives"
Business Development (Sales),Dexter CHem,Actively hiring,Gurgaon,6 Months," 15,000  +  Incentives"
Business Development (Sales),MBSAP Enterprises,Actively hiring,Noida,2 Months," 8,000-12,000 "
Inside Sales,Stirring Minds,Actively hiring,Delhi,2 Months," 3,000  +  Incentives"
Business Development (Sales),VittShala,Actively hiring,Delhi                                                            (Hybrid),2 Months," 8,000  +  Incentives"
ICSE Computer Science Proper School Teacher,Narigiri's Connect To Universe Private Limited,Actively hiring,Work from home,3 Months," 1,000-8,000 "
Business Development (Sales),Rankfast,Actively hiring,Delhi,6 Months," 20,000 "
International Business Development,Alea IT Solutions,Actively hiring,Jaipur,3 Months," 10,000-15,000 "
Digital Marketing,Ossum Technology,Actively hiring,Nagpur,3 Months," 5,000  +  Incentives"
Social Media Marketing,Heterize Infotech Private Limited,Actively hiring,Indore,3 Months," 2,000 "
Sales Consultant,Wave Visas,Actively hiring,Delhi,3 Months," 8,000 "
Software Product Sales And Marketing Executive,Hexadecimal Software Private Limited,Actively hiring,"Faridabad, Delhi, Ghaziabad, Gurgaon, Noida                                                            (Hybrid)",6 Months," 10,000-20,000 "
Business Development (Sales),Sports For All,Actively hiring,Indore,3 Months," 12,000 "
Content Writing,Xsoln,Actively hiring,Jaipur,3 Months," 8,000 "
Telecalling,Stirring Minds,Actively hiring,Delhi,2 Months," 3,000  +  Incentives"
Field Sales,Legit Farms,Actively hiring,"Erode, Nizamabad, Salem, Chamarajanagar",6 Months," 10,000-15,000 "
Business Development (Inside-sales),Heterize Infotech Private Limited,Actively hiring,Indore,3 Months," 7,000-14,000 "
Telecalling,GoMechanic,Actively hiring,Gurgaon,3 Months," 10,000 "
Client Acquisition,O4S,Actively hiring,Gurgaon,3 Months," 10,000 "
Brand Ambassador,Kheoni Ventures Private Limited,Actively hiring,"Delhi, Gurgaon, Udaipur",2 Months," 5,000-8,000 "
Content Writer (Digital Marketing),IIDE Education Private Limited,Actively hiring,Mumbai,6 Months," 5,000 "
Business Strategy,Urban NXT,Actively hiring,Mumbai,3 Months," 3,000  +  Incentives"
Content Writing,AIETS COM PVT LTD,Actively hiring,Delhi,3 Months," 12,000 "
Corporate Sales,Break The Code,Actively hiring,Mumbai,3 Months," 7,000 "
Content Writer,IIDE Education Private Limited,Actively hiring,Mumbai,6 Months," 7,500 "
Founders Office - Technical Operation,NextEdge Labs,Actively hiring,"Thane, Mumbai                                                            (Hybrid)",6 Months," 5,000 "
Content Writing,Franklyns,Actively hiring,Mumbai                                                            (Hybrid),2 Months," 6,000-15,000 "
Telugu Language Transcriber,Indiaum Solutions,Actively hiring,Work from home,4 Months," 7,000-15,000 "
Business Development (Sales),Pageant Paradise,Actively hiring,Noida,3 Months," 5,000-10,000 "
Anchoring,Urban NXT,Actively hiring,Mumbai,3 Months," 3,000  +  Incentives"
Business Development (Sales),BuySupplies,Actively hiring,Ahmedabad,6 Months," 8,000 "
Telecalling,Urban NXT,Actively hiring,Mumbai,3 Months," 3,000  +  Incentives"
Business Development Trainee - Water & Waste Water,Aquasense Private Limited,Actively hiring,"Delhi, Gurgaon, Noida                                                            (Hybrid)",6 Months," 10,000-15,000 "
Fashion Consultant,Break The Code,Actively hiring,Mumbai,3 Months," 7,000 "
Loan Officer,Medius Technologies Private Limited,Actively hiring,Mumbai,5 Months," 6,500 "
Business Development (Sales),HKS Manpower,Actively hiring,Gurgaon,3 Months," 10,000 "
Telecalling,Catalyst Crew,Actively hiring,Mumbai,6 Months," 3,500  +  Incentives"
Business Development (Sales),Drip Capital,Actively hiring,Mumbai,6 Months," 15,000 "
